video_id,view_count,like_count,comment_count,created_date,created_at
ByV0CA-sSFQ,682743,17691,721,2024-02-12,2024-02-12 14:10:13.869971+00
MrF1kqmnxxw,120184,1842,564,2024-02-12,2024-02-12 14:10:13.869971+00
O5h94ggcul4,250579,7237,186,2024-02-12,2024-02-12 14:10:13.869971+00
dSgayUUbqQY,491599,16789,263,2024-02-12,2024-02-12 14:10:13.869971+00
MjCZ7wLp6b0,569497,15389,178,2024-02-12,2024-02-12 14:10:13.869971+00
Zx1mPqP-yjY,89520,1675,39,2024-02-12,2024-02-12 14:10:13.869971+00
S3cS3YCu2lc,2886,22,26,2024-02-12,2024-02-12 14:10:13.869971+00
_bgx5Z-Vs58,4172,19,19,2024-02-12,2024-02-12 14:10:13.869971+00
ldU8iXfA3z4,3669,18,4,2024-02-12,2024-02-12 14:10:13.869971+00
i-OeLdgoaPw,8617,64,52,2024-02-12,2024-02-12 14:10:13.869971+00
-xrJpbtX-h0,6547,25,13,2024-02-12,2024-02-12 14:10:13.869971+00
yPUxXC61MVU,3732,11,5,2024-02-12,2024-02-12 14:10:13.869971+00
OW5kBIPxfco,1221,20,1,2024-02-12,2024-02-12 14:10:13.869971+00
STt4TiKtDgM,4156,128,0,2024-02-12,2024-02-12 14:10:13.869971+00
rTQQHgJi5mg,2175,25,11,2024-02-12,2024-02-12 14:10:13.869971+00
UEOm63D2Q6A,13959,49,28,2024-02-12,2024-02-12 14:10:13.869971+00
ZzwZz9Lv94s,99500,2607,791,2024-02-12,2024-02-12 14:10:13.869971+00
CyQB5v0cORA,2544,21,31,2024-02-12,2024-02-12 14:10:13.869971+00
1Irei2Mz2ZY,1906,12,1,2024-02-12,2024-02-12 14:10:13.869971+00
D5sZdaKclaA,674,4,9,2024-02-12,2024-02-12 14:10:13.869971+00
M_qwyY5UQAQ,4060,23,21,2024-02-12,2024-02-12 14:10:13.869971+00
56oNkSCn9as,37245,136,73,2024-02-12,2024-02-12 14:10:13.869971+00
rng1uAH1Uzs,3932,173,2,2024-02-12,2024-02-12 14:10:13.869971+00
aHEYUAu4WyU,8419,31,11,2024-02-12,2024-02-12 14:10:13.869971+00
x7BYJT91yF8,879,5,0,2024-02-12,2024-02-12 14:10:13.869971+00
Cn-MGzOp_Nc,10854,172,27,2024-02-12,2024-02-12 14:10:13.869971+00
Rp5kaT5A898,5829,60,21,2024-02-12,2024-02-12 14:10:13.869971+00
Ov60yhu96fw,2200,22,11,2024-02-12,2024-02-12 14:10:13.869971+00
VuaqPhPfD6w,12147,706,28,2024-02-12,2024-02-12 14:10:13.869971+00
YTAYWUfM4V4,5683,43,17,2024-02-12,2024-02-12 14:10:13.869971+00
C-DIxReU4jc,117117,3467,227,2024-02-12,2024-02-12 14:10:13.869971+00
5eSyNSpmv_g,2797,39,22,2024-02-12,2024-02-12 14:10:13.869971+00
lkZBCTouQMQ,387921,16612,727,2024-02-12,2024-02-12 14:10:13.869971+00
Z-RIzlr8kK0,535755,32775,858,2024-02-12,2024-02-12 14:10:13.869971+00
GRYp589t92k,16527,931,5,2024-02-12,2024-02-12 14:10:13.869971+00
FBtwZYMSreI,52832,1188,62,2024-02-12,2024-02-12 14:10:13.869971+00
e2RQHm9ns9Q,17232,84,17,2024-02-12,2024-02-12 14:10:13.869971+00
oCYJOnoCX6c,147203,1671,227,2024-02-12,2024-02-12 14:10:13.869971+00
Ef5BRTMkmSI,23796,1087,107,2024-02-12,2024-02-12 14:10:13.869971+00
KjeO3tZAZhs,18542,769,21,2024-02-12,2024-02-12 14:10:13.869971+00
JM-bVTtFmrs,3784,240,9,2024-02-12,2024-02-12 14:10:13.869971+00
tQG5VVIQH4w,30781,1115,46,2024-02-12,2024-02-12 14:10:13.869971+00
EvxY04vnphg,33922,417,143,2024-02-12,2024-02-12 14:10:13.869971+00
zzqQRRZ_VfE,2171,30,6,2024-02-12,2024-02-12 14:10:13.869971+00
y_pFKzbNDDM,12526,361,4,2024-02-12,2024-02-12 14:10:13.869971+00
s1VVH-7aDY0,36070,1757,20,2024-02-12,2024-02-12 14:10:13.869971+00
yCboq1VNXfk,17903,110,76,2024-02-12,2024-02-12 14:10:13.869971+00
NB-cZeYqBiM,22148,938,42,2024-02-12,2024-02-12 14:10:13.869971+00
imfhCnnNVB8,41039,1811,89,2024-02-12,2024-02-12 14:10:13.869971+00
RpVu1PxtPAs,1034770,34621,1199,2024-02-12,2024-02-12 14:10:13.869971+00
_CUO367HA-c,1522193,59717,2592,2024-02-12,2024-02-12 14:10:13.869971+00
SklboYaArA8,1008340,34696,1118,2024-02-12,2024-02-12 14:10:13.869971+00
xMlc26lyw0I,1319295,39523,814,2024-02-12,2024-02-12 14:10:13.869971+00
LNziGGY3WrU,1022218,52106,8480,2024-02-12,2024-02-12 14:10:13.869971+00
LmkAs6E8BdY,693041,21359,389,2024-02-12,2024-02-12 14:10:13.869971+00
tkgeMWobhZ4,314171,9932,265,2024-02-12,2024-02-12 14:10:13.869971+00
Msgg6GaRNas,1727218,54216,3332,2024-02-12,2024-02-12 14:10:13.869971+00
k5GV1GkVj-U,1239779,44335,999,2024-02-12,2024-02-12 14:10:13.869971+00
Bb37aVKHLPI,1646562,64484,4097,2024-02-12,2024-02-12 14:10:13.869971+00
waS4IFVwlQg,83450,1198,131,2024-02-12,2024-02-12 14:10:13.869971+00
Gatm3vQ3SWo,1194624,45476,1978,2024-02-12,2024-02-12 14:10:13.869971+00
a_YbzIfOaTI,915491,33853,771,2024-02-12,2024-02-12 14:10:13.869971+00
U0F2zAD01z0,1214269,31105,1553,2024-02-12,2024-02-12 14:10:13.869971+00
a-02B4nlCWI,2071090,65961,3628,2024-02-12,2024-02-12 14:10:13.869971+00
q8NRTtQ91MA,230639,7170,232,2024-02-12,2024-02-12 14:10:13.869971+00
w45DhMvIZJI,390956,14430,352,2024-02-12,2024-02-12 14:10:13.869971+00
tC6D4ehrdew,1284657,26915,2855,2024-02-12,2024-02-12 14:10:13.869971+00
uVBK-BeoayQ,1555904,53216,1945,2024-02-12,2024-02-12 14:10:13.869971+00
R7ZlHqwuTE4,1884254,77594,3596,2024-02-12,2024-02-12 14:10:13.869971+00
r24cyE8svmE,1873414,54897,2662,2024-02-12,2024-02-12 14:10:13.869971+00
kBIsceCMeFQ,5874,179,4,2024-02-12,2024-02-12 14:10:13.869971+00
tmb7NmiaQUM,1337608,26383,2535,2024-02-12,2024-02-12 14:10:13.869971+00
iuuqQrTOCfU,1735174,51537,2981,2024-02-12,2024-02-12 14:10:13.869971+00
wOD0JpSndDs,882304,23048,617,2024-02-12,2024-02-12 14:10:13.869971+00
iN43_4Eik8k,194256,7544,524,2024-02-12,2024-02-12 14:10:13.869971+00
t7I98CR5VEQ,425018,20837,374,2024-02-12,2024-02-12 14:10:13.869971+00
kC4xYUbW5Iw,261715,9639,208,2024-02-12,2024-02-12 14:10:13.869971+00
rbYx9CNl10o,18924,85,7,2024-02-12,2024-02-12 14:10:13.869971+00
_8RROzDa0Hk,38739,766,12,2024-02-12,2024-02-12 14:10:13.869971+00
o1b0C3QaQWo,55414,295,18,2024-02-12,2024-02-12 14:10:13.869971+00
pFfQnY0rhCs,87354,468,180,2024-02-12,2024-02-12 14:10:13.869971+00
nLUwcrjn_Yk,35530,219,17,2024-02-12,2024-02-12 14:10:13.869971+00
f_S0o7qOCjc,77190,411,29,2024-02-12,2024-02-12 14:10:13.869971+00
xfL3dU03NJY,33776,139,7,2024-02-12,2024-02-12 14:10:13.869971+00
vCSHETWYhII,4907,98,1,2024-02-12,2024-02-12 14:10:13.869971+00
IXmYbngbfAY,24395,92,17,2024-02-12,2024-02-12 14:10:13.869971+00
LLmVfGfh0fs,16073,90,4,2024-02-12,2024-02-12 14:10:13.869971+00
JJRdG75jRCA,11236,82,9,2024-02-12,2024-02-12 14:10:13.869971+00
VK_AADXKZAM,151708,650,790,2024-02-12,2024-02-12 14:10:13.869971+00
q7D3RgxTIW0,191123,1145,297,2024-02-12,2024-02-12 14:10:13.869971+00
4mrGeRdp7GA,24879,165,12,2024-02-12,2024-02-12 14:10:13.869971+00
dJpLhDFztvY,794,35,1,2024-02-12,2024-02-12 14:10:13.869971+00
